Item,I_Mean_RT,Log_Frequency,Degree,Clustering Coefficient,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
pert,701.05,-0.7133498878774648,5,0.2,1.8814341581850122e-05,0.014833263241869872,2.5819856997939544e-18
pest,658.91,1.0508216248317612,13,0.48717948717948717,4.213824274802597e-05,0.014688606318168184,-2.397353686206908e-17
pare,748.56,-2.120263536200091,19,0.27485380116959063,7.913716249425168e-05,0.01583271282442564,1.0552760431184781e-16
park,615.97,4.2783313983351166,10,0.26666666666666666,4.6661835335093786e-05,0.015191341355843583,7.394680549223963e-19
part,654.94,5.566472523691594,12,0.22727272727272727,6.690288434109699e-05,0.015681384625386922,-1.5960963231138434e-17
pass,559.85,4.683241721408247,6,0.26666666666666666,9.08669085025367e-06,0.012876977227770425,1.0407937292684568e-17
past,618.36,4.81834420626481,13,0.2564102564102564,5.904267781386997e-05,0.015069252504533703,5.956474200573894e-17
pate,838.78,-0.4307829160924542,14,0.3956043956043956,3.108726493090086e-05,0.014277736211366276,1.7598435214976667e-17
path,599.84,3.2007118542405295,6,0.4,1.8059608481030025e-05,0.01243769223231921,1.5109810263966924e-17
pave,767,-0.941608539858445,12,0.45454545454545453,1.0291794454498002e-05,0.014204890618451142,2.913732940491077e-17
pawn,657.21,1.4655675420143985,5,0.6,1.1176101761989819e-05,0.011225074223597066,-2.887525359338121e-18
peak,594.83,1.7817091333745536,7,0.23809523809523808,4.4170039990863986e-05,0.013807819735518784,1.5152572357620695e-17
peal,697.85,-1.9661128563728327,10,0.4888888888888889,1.4066369728767801e-05,0.01336979518628376,4.581767123372227e-17
pear,657.23,0.28517894223366247,14,0.6153846153846154,2.6682391676225517e-05,0.013583269148453873,1.5749322440242938e-17
peck,612.06,1.2612978709452054,8,0.25,6.057210185408509e-05,0.013950384530844516,1.2522144192488394e-17
peek,588.5,1.673351238177753,10,0.26666666666666666,6.99232278161504e-05,0.01366407384297174,6.865560649256852e-18
peel,626.27,1.6770965609079151,8,0.32142857142857145,1.8160579061071753e-05,0.012942278140603182,1.6915923038863455e-17
peep,626.06,1.4883995840570443,10,0.4,4.413998192101458e-05,0.012960534986618985,5.149051884045271e-19
peer,638.44,0.4252677354043441,11,0.32727272727272727,3.0232905426224018e-05,0.012960534986618985,-1.1477789168605676e-17
pace,645.39,2.258633205464863,11,0.34545454545454546,2.7338838272839182e-05,0.014778387087042303,3.914117546689061e-17
pack,593.3,3.7800903341673204,11,0.3090909090909091,4.145040471966044e-05,0.014523748422406257,1.3289736013841209e-17
pact,733.63,1.324418957401803,7,0.23809523809523808,1.532424336670448e-05,0.014521452903452187,2.008033676691824e-17
